AIRPORT_CODE,AIRPORT_NAME,ORIGIN_STATE,LATITUDE,LONGITUDE,FLIGHT_YEAR,TOTAL_DEPARTURES,ON_TIME_RATE_PCT,CANCELLATION_RATE_PCT,AVG_DEP_DELAY_MINS,AVG_DISTANCE
MMH,Mammoth Yosemite Airport,California,37.62409973,-118.8379974,2016,117,59.83,22.22,22.56,228.12
SUN,Friedman Memorial Airport,Idaho,43.50439835,-114.2959976,2016,1253,76.22,10.14,7.42,332.69
PGD,Charlotte County Airport,Florida,26.92020035,-81.99050139999999,2016,83,79.52,6.02,8.54,1016.61
CMX,Houghton County Memorial Airport,Michigan,47.168399810791016,-88.48909759521484,2016,734,77.25,5.86,16.55,360.0
JMS,Jamestown Regional Airport,North Dakota,46.92969894000001,-98.67819977,2016,937,83.67,5.34,3.1,260.28
ASE,Aspen-Pitkin Co/Sardy Field,Colorado,39.22320175,-106.8690033,2016,4585,74.57,5.19,11.73,495.86
DVL,Devils Lake Regional Airport,North Dakota,48.11420059,-98.90879822000001,2016,591,84.6,4.57,6.75,324.35
MKG,Muskegon County Airport,Michigan,43.16949844,-86.23819733,2016,683,76.43,4.25,8.57,118.0
IAG,Niagara Falls International Airport,New York,43.1072998046875,-78.94619750976562,2016,396,76.52,4.04,7.12,975.08
ACV,California Redwood Coast-Humboldt County Airport,California,40.978101,-124.10899999999998,2016,1417,75.16,3.95,12.92,250.0
GGG,East Texas Regional Airport,Texas,32.38399887084961,-94.71150207519533,2016,382,73.82,3.93,14.05,140.0
LAR,Laramie Regional Airport,Wyoming,41.31209945678711,-105.67500305175778,2016,625,87.04,3.84,6.56,113.0
BTV,Burlington International Airport,Vermont,44.4719009399,-73.15329742429999,2016,4038,77.84,3.74,10.39,449.37
PAH,Barkley Regional Airport,Kentucky,37.06079864501953,-88.7738037109375,2016,681,82.23,3.67,10.17,342.0
ERI,Erie International Tom Ridge Field,Pennsylvania,42.0831270134,-80.17386674879998,2016,746,81.23,3.62,9.94,374.16
SPS,Sheppard Air Force Base-Wichita Falls Municipal Airport,Texas,33.98879999999999,-98.491898,2016,847,82.17,3.54,8.59,113.0
ADQ,Kodiak Airport,Alaska,57.75,-152.4940033,2016,542,88.56,3.51,-4.26,253.0
RKS,Southwest Wyoming Regional Airport,Wyoming,41.5942,-109.065001,2016,658,89.21,3.5,0.28,260.0
HYS,Hays Regional Airport,Kansas,38.84220122999999,-99.27320099,2016,624,83.97,3.37,3.07,298.0
EAU,Chippewa Valley Regional Airport,Wisconsin,44.86579895019531,-91.48429870605467,2016,682,87.1,3.23,7.7,269.0
RDD,Redding Municipal Airport,California,40.50899887,-122.29299929999999,2016,989,77.96,3.13,8.98,199.0
MRY,Monterey Peninsula Airport,California,36.58700180053711,-121.84300231933594,2016,2542,81.31,3.11,5.86,281.46
PWM,Portland International Jetport Airport,Maine,43.64619827,-70.30930328,2016,6360,80.08,3.07,9.99,527.35
SMX,Santa Maria Pub/Capt G Allan Hancock Field,California,34.89889908,-120.4570007,2016,557,78.28,3.05,13.4,216.0
ACT,Waco Regional Airport,Texas,31.611299514770508,-97.23049926757812,2016,1419,82.38,3.03,7.24,89.43
OTH,Southwest Oregon Regional Airport,Oregon,43.41709899902344,-124.24600219726562,2016,299,65.22,3.01,20.29,481.31
CWA,Central Wisconsin Airport,Wisconsin,44.77759933469999,-89.6668014526,2016,805,83.73,2.98,4.63,213.96
AZO,Kalamazoo Battle Creek International Airport,Michigan,42.234901428222656,-85.5521011352539,2016,2075,82.7,2.94,4.91,148.85
ORH,Worcester Regional Airport,Massachusetts,42.26729965209961,-71.87570190429688,2016,716,72.35,2.93,12.51,1151.5
ADK,Adak Airport,Alaska,51.87799835205078,-176.64599609375,2016,104,79.81,2.88,-2.03,1192.0
DLH,Duluth International Airport,Minnesota,46.8420982361,-92.19360351560002,2016,2475,81.37,2.83,9.98,267.48
HIB,Range Regional Airport,Minnesota,47.386600490000006,-92.83899689,2016,990,81.01,2.73,8.46,141.64
SPI,Abraham Lincoln Capital Airport,Illinois,39.84410094999999,-89.67790222,2016,1734,82.47,2.71,8.83,343.36
GSO,Piedmont Triad International Airport,North Carolina,36.097801208496094,-79.93730163574219,2016,6078,82.3,2.71,8.71,405.16
SCE,University Park Airport,Pennsylvania,40.8493003845,-77.84870147710001,2016,742,80.19,2.7,7.18,528.87
BRW,Wiley Post Will Rogers Memorial Airport,Alaska,71.28540199999999,-156.76600800000003,2016,935,89.63,2.67,-4.95,582.61
