FLIGHT_YEAR,FLIGHT_MONTH,PRIMARY_DELAY_CAUSE,TOTAL_FLIGHTS,TOTAL_DELAY_MINS,AVG_DELAY_MINS,TOTAL_CARRIER_DELAY_MINS,TOTAL_WEATHER_DELAY_MINS,TOTAL_NAS_DELAY_MINS,TOTAL_LATE_AIRCRAFT_DELAY_MINS,TOTAL_SECURITY_DELAY_MINS
2016,1,Security,148,5161.0,34.87,178.0,0.0,466.0,295.0,4222.0
2016,1,NAS,20572,815996.0,39.67,39989.0,7963.0,730374.0,37215.0,455.0
2016,1,Carrier,22119,1467393.0,66.34,1330140.0,2103.0,66779.0,68222.0,149.0
2016,1,Late Aircraft,25757,1624675.0,63.08,111338.0,11793.0,82621.0,1418049.0,874.0
2016,1,Weather,2286,208904.0,91.38,1342.0,179203.0,18576.0,9783.0,0.0
2016,2,NAS,19635,955869.0,48.68,34120.0,10710.0,868548.0,42090.0,401.0
2016,2,Carrier,17924,1252734.0,69.89,1138429.0,2384.0,55503.0,56253.0,165.0
2016,2,Late Aircraft,22038,1573356.0,71.39,103214.0,18112.0,76090.0,1375531.0,409.0
2016,2,Weather,1979,209851.0,106.04,1325.0,179747.0,18380.0,10394.0,5.0
2016,2,Security,104,3678.0,35.37,12.0,0.0,297.0,230.0,3139.0
2016,3,Late Aircraft,31908,2000344.0,62.69,129766.0,15515.0,104568.0,1749160.0,1335.0
2016,3,Weather,2233,178947.0,80.14,1493.0,148424.0,18540.0,10466.0,24.0
2016,3,Carrier,21433,1459683.0,68.1,1319839.0,1671.0,68497.0,69424.0,252.0
2016,3,Security,181,7005.0,38.7,116.0,26.0,578.0,487.0,5798.0
2016,3,NAS,26814,1215591.0,45.33,42107.0,8143.0,1110532.0,54269.0,540.0
2016,4,NAS,19941,826499.0,41.45,35316.0,6439.0,741942.0,42393.0,409.0
2016,4,Security,130,4180.0,32.15,9.0,15.0,384.0,215.0,3557.0
2016,4,Weather,1598,139340.0,87.2,705.0,117337.0,12995.0,8290.0,13.0
