FLIGHT_YEAR,FLIGHT_MONTH,FLIGHT_QUARTER,TOTAL_FLIGHTS,ON_TIME_FLIGHTS,CANCELLED_FLIGHTS,ON_TIME_RATE_PCT,CANCELLATION_RATE_PCT,AVG_ARR_DELAY_MINS,TOTAL_DELAY_MINS
2016,1,1,444963,365215,11665,82.08,2.62,1.53,4122129.0
2016,2,1,422920,356694,6823,84.34,1.61,0.67,3995488.0
2016,3,1,478019,393933,4733,82.41,0.99,3.15,4861570.0
2016,4,2,460811,392853,4109,85.25,0.89,0.7,3848737.0
2016,5,2,478008,402996,2509,84.31,0.52,2.25,4416714.0
2016,6,2,485898,383919,4982,79.01,1.03,7.15,6400240.0
2016,7,3,500507,380861,9309,76.1,1.86,10.38,8097727.0
2016,8,3,496858,389834,6893,78.46,1.39,8.01,7021740.0
2016,9,3,454075,391535,1517,86.23,0.33,0.5,3667339.0
2016,10,4,472033,406751,4547,86.17,0.96,-0.22,3513518.0
2016,11,4,450221,392663,1310,87.22,0.29,-1.86,3270250.0
2016,12,4,459693,352283,7464,76.63,1.62,8.66,6634908.0
2017,1,1,448531,345243,8886,76.97,1.98,6.95,6296449.0
2017,2,1,409537,341415,6312,83.37,1.54,0.69,3866815.0
2017,3,1,487680,393868,8526,80.76,1.75,4.31,5427330.0
2017,4,2,467375,370845,7398,79.35,1.58,7.32,6592014.0
2017,5,2,485539,388159,4038,79.94,0.83,6.03,6140514.0
2017,6,2,492960,380490,5379,77.18,1.09,9.13,7445536.0
2017,7,3,507515,395140,5756,77.86,1.13,8.3,7454028.0
2017,8,3,509165,397079,11002,77.99,2.16,6.69,6547309.0
2017,9,3,457936,386088,15343,84.31,3.35,-0.56,3510130.0
2017,10,4,479050,409739,3298,85.53,0.69,1.18,4210367.0
2017,11,4,453587,403203,1418,88.89,0.31,-3.18,2946976.0
2017,12,4,463216,375721,5324,81.11,1.15,3.59,5379020.0
2018,1,1,568891,457314,17167,80.39,3.02,2.83,6476893.0
2018,2,1,519335,416539,8976,80.21,1.73,3.68,6094089.0
2018,3,1,611028,499037,17278,81.67,2.83,2.03,5691325.0
2018,4,2,594854,488774,6251,82.17,1.05,3.6,6446834.0
2018,5,2,614858,492852,7154,80.16,1.16,5.84,7832154.0
2018,6,2,624289,483731,10693,77.49,1.71,8.49,9205785.0
2018,7,3,643265,494016,11083,76.8,1.72,9.09,9857053.0
2018,8,3,635046,484653,12314,76.32,1.94,9.83,10154745.0
2018,9,3,584398,484598,8132,82.92,1.39,2.77,6145746.0
2018,10,4,614846,512768,4485,83.4,0.73,2.82,6061607.0
2018,11,4,585054,471249,6254,80.55,1.07,5.26,6960417.0
2018,12,4,592489,481261,6752,81.23,1.14,3.35,6571426.0
2019,1,1,582689,464394,16726,79.7,2.87,4.26,7162790.0
2019,2,1,531569,400732,15255,75.39,2.87,8.73,8251759.0
2019,3,1,631069,516144,12564,81.79,1.99,3.29,6898399.0
2019,4,2,610508,491028,14488,80.43,2.37,4.85,7677041.0
2019,5,2,634351,499137,13012,78.68,2.05,7.05,8876293.0
2019,6,2,634114,471963,13227,74.43,2.09,11.74,11103884.0
2019,7,3,656709,512164,12928,77.99,1.97,8.73,10339188.0
2019,8,3,656649,516099,11298,78.6,1.72,7.5,9573779.0
2019,9,3,604732,514108,10016,85.01,1.66,0.21,5544159.0
2019,10,4,634809,528563,5172,83.26,0.81,2.39,6543736.0
2019,11,4,601553,514951,4446,85.6,0.74,-0.06,5334273.0
2019,12,4,624405,496084,5793,79.45,0.93,6.12,8584420.0
2020,1,1,606196,520134,6928,85.8,1.14,-1.62,5283250.0
2020,2,1,573211,486488,5135,84.87,0.9,-0.2,5819054.0
2020,3,1,647432,485791,110187,75.03,17.02,-6.36,3248251.0
2020,4,2,313084,174355,130078,55.69,41.55,-13.63,558077.0
2020,5,2,180260,161214,11613,89.43,6.44,-11.47,482701.0
2020,6,2,223382,208346,813,93.27,0.36,-7.34,843800.0
2020,7,3,352069,320616,2813,91.07,0.8,-5.01,1889727.0
2020,8,3,375890,344315,3921,91.6,1.04,-6.15,1704299.0
2020,9,3,322897,301868,1805,93.49,0.56,-7.47,1185386.0
2020,10,4,351569,321725,1860,91.51,0.53,-4.96,1779055.0
2020,11,4,363830,335903,2031,92.32,0.56,-6.54,1555140.0
2020,12,4,370790,325501,3850,87.79,1.04,-2.34,2560701.0
2021,1,1,360851,323831,3647,89.74,1.01,-5.26,2285027.0
2021,2,1,331818,269696,18430,81.28,5.55,-0.36,2980407.0
2021,3,1,443731,395409,5766,89.11,1.3,-4.5,2690043.0
2021,4,2,449918,401789,2493,89.3,0.55,-3.78,3042149.0
2021,5,2,494280,429056,2283,86.8,0.46,-0.22,4311122.0
2021,6,2,544318,411824,8850,75.66,1.63,10.33,8909833.0
2021,7,3,581023,433176,9142,74.55,1.57,11.93,10224042.0
2021,8,3,577139,436618,17192,75.65,2.98,9.3,8766008.0
2021,9,3,537117,460007,6740,85.64,1.25,0.24,4628499.0
2021,10,4,563748,455986,11764,80.88,2.09,3.97,6314016.0
2021,11,4,546825,465181,3424,85.07,0.63,0.57,4777190.0
2021,12,4,550512,422040,13329,76.66,2.42,6.96,7684955.0
2022,1,1,536785,409531,33256,76.29,6.2,3.98,6646179.0
2022,2,1,494882,383736,21736,77.54,4.39,4.67,6175170.0
2022,3,1,563452,438929,8742,77.9,1.55,7.09,7904477.0
2022,4,2,555159,425198,13042,76.59,2.35,8.58,8136821.0
2022,6,2,575629,427324,17876,74.24,3.11,10.68,9338161.0
2022,7,3,593095,448623,10546,75.64,1.78,9.86,9534221.0
2022,8,3,588020,448993,14401,76.36,2.45,8.71,8907961.0
2022,9,3,556427,460149,8699,82.7,1.56,2.4,5696444.0
2022,10,4,571324,480024,4832,84.02,0.85,2.09,5574478.0
2022,11,4,545388,440984,6189,80.86,1.13,4.71,6420695.0
2022,12,4,555798,387104,30582,69.65,5.5,13.77,10404589.0
2023,1,1,537492,414307,10295,77.08,1.92,7.78,8104993.0
2023,2,1,501766,403023,9019,80.32,1.8,4.14,6146091.0
2023,3,1,578939,440241,7406,76.04,1.28,9.07,8771003.0
2023,4,2,559838,428505,9589,76.54,1.71,9.11,8693470.0
2023,5,2,578740,474983,3310,82.07,0.57,3.81,6761775.0
2023,6,2,575023,414929,12219,72.16,2.13,14.41,11460948.0
2023,7,3,599664,422426,14606,70.44,2.44,16.64,13131706.0
2023,8,3,601314,467881,9172,77.81,1.53,8.44,9400204.0
2023,9,3,567945,459726,7058,80.95,1.24,5.39,7347372.0
2023,10,4,598143,506872,2140,84.74,0.36,1.19,5697455.0
2023,11,4,563232,489409,819,86.89,0.15,-1.26,4532271.0
2023,12,4,569251,481424,2310,84.57,0.41,0.51,5650836.0
2024,1,1,545759,402862,20389,73.82,3.74,10.35,9538664.0
2024,2,1,518271,436480,3002,84.22,0.58,0.59,5257296.0
2024,3,1,590533,467315,5120,79.13,0.87,6.5,8517627.0
2024,4,2,580950,470780,4035,81.04,0.69,5.36,7558449.0
2024,5,2,607470,445389,8244,73.32,1.36,14.05,12122079.0
2024,6,2,609148,455785,7876,74.82,1.29,11.81,11013944.0
2024,7,3,632310,436695,18372,69.06,2.91,18.09,14651921.0
2024,8,3,617017,466571,12714,75.62,2.06,10.59,10609364.0
2024,9,3,581761,492080,3499,84.58,0.6,1.0,5520932.0
2024,10,4,614798,531529,6284,86.46,1.02,-1.28,4898186.0
2024,11,4,574562,491242,2629,85.5,0.46,-0.32,5276192.0
2025,1,1,538581,427445,16312,79.37,3.03,3.76,6943994.0
2025,2,1,503881,396585,7405,78.71,1.47,5.72,7411011.0
2025,3,1,599224,479891,6923,80.09,1.16,5.45,8378368.0
2025,4,2,582644,467959,4914,80.32,0.84,5.66,7841369.0
2025,5,2,603918,460898,6344,76.32,1.05,10.19,10219866.0
2025,6,2,609208,434621,9736,71.34,1.6,15.59,12980508.0
2025,7,3,628284,440298,15473,70.08,2.46,17.35,14416617.0
2025,8,3,600216,463934,6483,77.29,1.08,9.24,9818578.0
2025,9,3,561215,468756,2886,83.53,0.51,2.32,6224476.0
2025,10,4,604774,483672,3204,79.98,0.53,5.59,7841298.0
2025,11,4,569491,444503,14195,78.05,2.49,6.37,8371085.0
2025,12,4,580925,423209,9001,72.85,1.55,13.04,11487455.0
2026,1,1,542857,413129,25635,76.1,4.72,6.41,8127392.0
